Cycle,Voltage_mean,Temperature_max,Time_at_max_temp,Discharge_duration
123,0.1461,0.6826,0.0936,2817.375
106,0.3828,0.8333,0.3224,2992.703
11,0.0,0.4504,0.5302,2394.734
20,0.7379,0.1164,0.5322,2355.265
94,0.4189,0.5272,0.3918,3069.812
139,0.2884,0.2928,0.4095,3002.922
35,0.9712,0.3632,0.5136,3182.156
148,0.0996,0.9153,0.0618,2838.515
128,0.103,0.9876,0.0466,2777.844
19,0.8318,0.0403,0.6829,3218.25
23,0.4426,0.3721,1.0,3252.985
122,0.3039,0.8826,0.2321,2937.625
166,0.3992,0.251,0.3535,2979.219
39,0.6072,0.7254,0.6061,2491.375
180,0.323,0.721,0.1151,2925.484
92,0.617,0.6703,0.4453,3107.141
37,0.1415,0.7197,0.4646,2335.0
37,0.5413,0.5973,0.4913,2459.297
45,0.3582,0.8586,0.8776,2458.812
41,0.9382,0.2598,0.8264,3321.844
107,0.2858,0.6026,0.1897,2894.922
183,0.0968,0.2612,0.2095,2918.25
163,0.596,0.557,0.3266,3023.187
73,0.6258,0.5067,0.5581,3140.547
36,0.9384,0.1427,0.8456,3368.266
127,0.0767,0.8227,0.059,2774.719
185,0.7143,0.424,0.0751,2906.015
144,0.1589,0.625,0.0934,2847.437
146,0.2816,0.4573,0.3316,2969.953
16,0.5622,0.1574,0.8539,3215.859
112,0.5495,0.6761,0.2076,3023.5
151,0.2619,0.6638,0.2151,2941.719
12,0.6966,0.5083,0.7929,2673.0
96,0.7818,0.6134,0.2408,3083.25
111,0.6509,0.6462,0.1969,3031.953
32,0.7489,0.6469,0.5737,2536.204
69,0.3629,0.6922,0.6442,2442.344
27,0.9894,0.047,0.8946,3412.406
48,0.3039,0.907,0.656,2392.375
134,0.28,0.6857,0.186,2901.25
193,0.3305,0.8464,0.1614,2897.844
46,0.7633,0.1349,0.7502,3302.36
45,0.8847,0.0865,0.8083,3293.172
15,1.0,0.0719,0.1157,2621.187
35,0.7273,0.4627,0.6066,3243.422
23,0.8292,0.2037,1.0,3252.985
26,0.7019,0.423,0.7691,3228.141
31,0.9522,0.2851,0.5199,2536.172
124,0.2996,0.2472,0.4279,3010.703
82,0.3328,0.8436,0.4063,2322.156
97,0.4257,0.6559,0.3604,3039.047
53,0.8621,0.3189,0.7317,3265.656
103,0.5466,0.6798,0.5897,3079.235
132,0.148,0.8251,0.142,2882.969
185,0.3836,0.6888,0.0356,2906.015
116,0.7666,0.5409,0.2569,3046.125
189,0.369,0.666,0.0,2875.641
53,0.8706,0.3067,0.7818,3265.656
67,0.5018,0.4017,0.3313,3034.672
158,0.3146,0.8016,0.4391,3045.078
63,0.8713,0.2089,0.0,2416.672
97,0.1314,0.7763,0.5501,2385.922
30,0.8505,0.3614,0.6773,3210.546
91,0.1437,0.7217,0.4236,2463.578
51,0.7821,0.3902,0.618,3232.031
21,0.8827,0.0,0.81,3194.39
70,0.3067,1.0,0.731,2444.703
92,0.4951,0.7568,0.4324,3074.266
77,0.5227,0.4598,0.4633,3121.672
19,0.3253,0.6947,0.6325,2556.593
74,0.1118,0.9018,0.5312,2392.468
126,0.2189,0.8327,0.1874,2900.422
134,0.2853,0.3369,0.3713,2986.766
100,0.4257,0.7085,0.3502,3021.75
8,0.2254,0.6332,0.6962,2446.062
162,0.0554,0.5868,0.0212,2801.625
119,0.7421,0.5761,0.1607,3020.984
117,0.2531,0.8594,0.2236,2929.125
25,0.6477,0.152,0.9125,3235.031
24,0.367,0.6529,0.7223,2412.25
21,0.8316,0.4731,0.9821,3552.297
107,0.3315,0.7917,0.2954,2964.468
17,0.6235,0.7296,0.7162,2565.109
45,0.9338,0.4391,0.8655,3196.015
189,0.6853,0.3945,0.0505,2875.641
37,1.0,0.1039,0.7309,3171.953
126,0.5771,0.6525,0.1783,3005.734
62,0.6823,0.4063,0.6192,3213.219
148,0.0871,0.6433,0.0621,2838.515
111,0.3432,0.816,0.2688,2966.25
81,0.5326,0.4636,0.5005,3110.844
52,0.4013,0.7901,0.6784,2474.844
167,0.7366,0.4993,0.2375,2995.047
152,0.1208,0.8893,0.0981,2846.39
58,0.6683,0.8001,0.6417,3172.375
88,0.3027,0.8463,0.3918,2295.109
58,0.8887,0.5866,0.8096,3172.375
176,0.3247,0.7901,0.1514,2942.797
106,0.5498,0.505,0.3002,3054.812
54,0.6831,0.6775,0.6212,3171.36
118,0.4336,0.255,0.47,3028.562
87,0.5956,0.3369,0.0976,2317.453
8,0.5331,0.6831,0.9519,2481.078
161,0.0086,0.8971,0.0362,2802.422
47,0.8976,0.4514,0.8702,3198.0
87,0.4846,0.0866,0.6073,3086.688
151,0.1295,0.8894,0.1336,2864.547
66,0.9197,0.3379,0.5167,3129.797
166,0.4873,0.7066,0.137,2979.219
82,0.1174,0.7586,0.2529,2322.156
88,0.4777,0.6703,0.4137,3058.578
21,0.823,0.0,0.5614,3194.39
41,0.7469,0.188,0.7931,3165.359
88,0.4002,0.0985,0.6252,3094.281
154,0.1082,0.8363,0.071,2838.156
78,0.8236,0.5697,0.3309,3125.328
16,0.1368,0.9321,0.8163,2616.453
37,0.2857,0.6612,0.5369,2459.297
139,0.1433,1.0,0.1245,2874.234
56,0.6714,0.716,0.6045,3164.672
80,0.2538,0.6772,0.2115,2923.953
145,0.0943,0.6588,0.0935,2847.36
77,0.8191,0.558,0.3215,3117.984
77,0.5847,0.0631,0.6812,3117.984
80,0.4905,0.0779,0.678,3116.641
84,0.5146,0.5825,0.3246,2335.0
77,0.5493,0.449,0.5211,3121.672
60,0.6126,0.3485,0.4596,3131.922
136,0.5588,0.7962,0.5152,3047.703
28,0.7752,0.2572,0.9226,3220.219
69,0.6365,0.4642,0.5362,3167.719
136,0.1502,0.9217,0.142,2883.016
34,0.9734,0.0166,0.8889,3386.0
38,0.9303,0.4808,0.6247,3192.172
180,0.6424,0.4454,0.1313,2925.484
83,0.5132,0.6417,0.4683,3086.531
140,0.1775,0.6799,0.1237,2864.984
74,0.4629,0.6743,0.4154,2392.468
34,0.9732,0.1216,0.7828,3190.313
67,0.139,0.6546,0.204,2355.265
37,0.6959,0.0524,0.8086,3171.953
95,0.3311,0.0,0.5548,3064.437
194,0.2366,0.8701,0.1571,2896.063
113,0.7261,0.608,0.1849,3042.703
15,0.9386,0.3026,0.8542,3363.015
52,0.7182,0.4425,0.5921,3209.515
43,0.486,0.5743,0.8563,2559.125
24,0.8198,0.002,0.6994,3283.797
17,0.943,0.2946,0.8914,3409.484
159,0.0686,0.8267,0.0352,2810.672
40,0.8192,0.226,0.4174,2467.328
183,0.5416,0.5031,0.116,2918.25
120,0.5336,0.6836,0.241,3017.391
86,0.7172,0.6098,0.2801,3093.25
81,0.5162,0.458,0.4772,3095.781
17,0.6559,0.1311,0.0306,2395.75
150,0.5028,0.694,0.1021,2950.39
56,0.8388,0.4769,0.7915,3164.672
91,0.5778,0.5055,0.6436,3102.062
64,0.5284,0.4703,0.3939,3076.703
44,0.317,0.9577,0.9306,2534.156
10,0.7875,0.405,0.9586,3551.25
63,0.8863,0.5413,0.6756,3159.281
42,0.1066,0.9037,0.5632,2459.313
75,0.6605,0.722,0.5017,3141.047
110,0.2323,0.606,0.1198,2847.406
11,0.2454,0.6542,0.6318,2394.734
31,0.8883,0.0679,0.1323,2536.172
31,0.8086,0.3839,0.6478,3276.922
50,0.9592,0.3786,0.8352,3301.579
106,0.6741,0.6177,0.1946,3054.812
66,0.7086,0.4682,0.6395,3186.297
82,0.5151,0.0596,0.6421,3101.406
163,0.4684,0.4631,0.4573,3023.187
99,0.4693,0.5424,0.3621,3065.953
85,0.4773,0.1011,0.6384,3099.875
51,0.445,0.8464,0.7271,2488.719
118,0.0543,0.7003,0.0354,2776.391
182,0.1702,0.275,0.2112,2918.938
75,0.7447,0.339,0.7357,3141.047
125,0.3398,0.2836,0.4303,3011.75
132,0.2291,0.9935,0.2531,3020.813
186,0.2702,0.7322,0.0438,2894.14
47,0.4651,0.8711,0.6217,2474.344
6,0.0,1.0,1.0,2667.89
69,0.6803,0.4693,0.5938,3167.719
49,0.9875,0.4859,0.8023,3329.266
121,0.3894,0.7751,0.2676,2955.438
68,0.905,0.7132,0.8675,3196.859
65,0.6699,0.574,0.3968,2410.688
10,0.505,0.8022,0.8574,2676.578
33,0.4419,0.5946,0.5443,2488.86
39,0.9334,0.6705,0.8624,3194.735
81,0.508,0.3093,0.0,2315.407
83,0.6887,0.4077,0.4445,3099.563
22,0.8904,0.2243,0.9595,3531.578
59,0.8476,0.6177,0.4621,3158.406
84,0.7302,0.6078,0.3061,3104.64
111,0.3112,0.2305,0.478,3031.953
12,0.8662,0.0022,0.7107,2408.781
165,0.0,0.6548,0.0119,2793.39
44,0.6392,0.6673,0.8483,3199.485
16,0.6757,0.679,0.6781,2616.453
107,0.8046,0.5498,0.1509,3046.532
88,0.1035,0.7737,0.2144,2295.109
32,0.1564,0.6094,0.4995,2345.453
178,0.6771,0.4587,0.1655,2948.891
34,0.7627,0.5304,0.6241,2518.547
159,0.3025,0.7919,0.3855,3034.25
49,0.7684,0.2065,0.8366,3183.797
47,0.8643,0.1037,0.772,3265.016
162,0.0391,0.8834,0.0265,2801.625
33,0.7753,0.5882,0.6156,3260.594
131,0.2236,0.6279,0.1441,2883.265
72,0.3604,0.7944,0.5213,2403.234
189,0.0423,0.2058,0.1089,2875.641
72,0.4754,0.8356,0.5781,2403.234
64,0.6713,0.4252,0.61,3195.125
149,0.0623,0.9162,0.0617,2828.328
66,1.0,0.1177,0.3347,2402.125
54,0.5242,0.3773,0.4213,2322.0
25,0.7329,0.3501,0.7836,3235.031
54,0.8475,0.4022,0.7212,3266.093
12,0.9759,0.4155,0.8918,3384.094
90,0.5106,0.5644,0.433,3095.687
59,0.6138,0.4017,0.4831,3140.407
10,0.6845,0.7155,0.7755,2676.578
67,0.7155,0.4203,0.6205,3176.438
170,0.4164,0.7474,0.1712,2967.281
62,0.405,0.7873,0.5066,2409.906
61,0.7388,0.2538,0.1257,2420.671
111,0.5725,0.5815,0.2634,3031.953
83,0.2959,0.7158,0.1662,2897.875
76,0.5827,0.5031,0.5219,3122.125
70,0.6436,0.3996,0.6557,3160.843
25,0.9849,0.0963,0.9163,3431.937
24,0.8163,0.2465,0.818,2646.156
41,0.9167,0.212,0.7941,3321.844
46,0.8878,0.0658,0.7817,3275.328
105,0.6076,0.4891,0.2956,3051.484
79,0.5606,0.443,0.5039,3103.828
65,0.6872,0.4947,0.5992,3195.313
153,0.3749,0.6253,0.1832,2936.171
109,0.5395,0.8372,0.3662,3074.532
80,0.7317,0.6239,0.3132,3116.641
36,0.6646,0.6766,0.5985,2506.718
86,0.438,0.0832,0.6228,3093.25
75,0.1072,0.9106,0.4303,2373.89
74,0.5699,0.6512,0.6482,3159.172
30,0.3563,0.4272,0.4895,2342.453
18,0.4219,0.8956,0.7772,2532.531
161,0.02,0.6447,0.0327,2802.422
102,0.0804,0.8401,0.4289,2357.687
54,0.8083,0.344,0.8072,3171.36
76,0.6099,0.6359,0.4418,2383.234
100,0.415,0.6578,0.3197,3021.75
57,0.8198,0.2814,0.7278,3238.766
160,0.0705,0.5593,0.032,2811.485
41,0.7239,0.6108,0.5111,2466.125
28,0.7568,0.1856,0.8746,3220.219
80,0.5894,0.6406,0.3528,2360.172
75,0.3854,0.5812,0.2816,2983.547
104,0.4357,0.8865,0.3507,3020.11
68,0.6842,0.4483,0.6121,3167.593
91,0.8128,0.6731,0.3425,3102.062
175,0.4296,0.8145,0.151,2959.281
73,0.6744,0.1969,0.0154,2361.047
85,0.2636,0.7285,0.1382,2886.921
62,0.8878,0.4384,0.651,3157.969
142,0.4902,0.7723,0.43,3011.609
97,0.0892,0.8444,0.4665,2385.922
74,0.5141,0.8115,0.4666,2392.468
109,0.6958,0.8449,0.341,3074.532
63,0.7484,0.4376,0.6658,3203.578
60,0.84,0.6021,0.4262,3141.578
13,0.6621,0.7863,0.7357,2619.578
72,0.1185,0.9332,0.5603,2403.234
68,0.4482,0.7362,0.4378,2396.719
57,0.8993,0.7831,0.8216,3177.453
28,0.9605,0.0948,0.8927,3410.688
27,0.2662,0.7663,0.6563,2392.468
79,0.5432,0.1205,0.6864,3120.172
89,0.0836,0.9416,0.4409,2326.657
137,0.3945,0.5082,0.4852,3034.968
174,0.4267,0.6598,0.3271,2968.016
20,0.7726,0.3807,0.9808,3591.734
78,0.3436,0.807,0.4409,2359.296
103,0.5183,0.7491,0.4012,3079.235
76,0.1051,0.9121,0.4877,2383.234
137,0.1756,0.8394,0.1239,2873.453
196,0.6133,0.5197,0.0384,2836.609
38,0.9327,0.3562,0.4178,2488.734
84,0.4775,0.6345,0.4584,3085.625
19,0.9778,0.2382,0.8701,3390.281
114,0.1811,1.0,0.0847,2818.312
81,0.4806,0.4871,0.4236,3095.781
25,0.4444,0.5149,0.6619,2593.531
38,0.9458,0.0743,0.8528,3339.5
38,0.873,0.1299,0.084,2488.734
44,0.735,0.4188,0.8469,3199.485
129,0.204,0.6769,0.1752,2891.64
157,0.7166,0.7047,0.5352,3056.172
26,0.6902,0.7484,0.7201,2604.125
140,0.2512,0.1975,0.3712,2986.718
23,0.7211,0.2786,0.9887,2683.406
42,0.9717,0.3943,0.4661,3155.25
56,0.6774,0.2981,0.633,3238.109
5,0.5845,0.4911,0.9987,2786.578
139,0.1896,0.7305,0.1344,2874.234
18,1.0,0.1893,0.8702,3390.422
65,0.9113,0.3595,0.5409,3134.078
61,0.8449,0.5964,0.3896,3138.187
86,0.5487,0.6663,0.3375,2333.875
19,0.5005,0.61,0.576,2556.593
158,0.2926,0.5881,0.4518,3045.078
190,0.0574,0.1816,0.0738,2860.781
82,0.6379,0.4171,0.4679,3101.406
61,0.8906,0.1406,0.3456,2420.671
14,0.8586,0.4346,0.9362,3470.0
113,0.1669,0.8573,0.1097,2826.453
25,0.4783,0.7375,0.61,2403.234
14,0.8335,0.3845,0.6835,2640.016
81,0.865,0.5568,0.2734,3110.844
56,0.8768,0.3469,0.7175,3164.672
60,0.7237,0.4624,0.6485,3229.781
27,0.7523,0.4033,0.7386,3217.875
11,0.79,0.4231,0.9581,3530.25
178,0.4047,0.696,0.1627,2948.891
3,0.8239,0.2609,0.403,2818.578
71,0.6134,0.4742,0.515,3148.829
143,0.389,0.4646,0.3694,2985.953
157,0.0835,0.5614,0.0517,2819.437
4,0.9046,0.2756,0.9536,3404.719
70,0.1408,0.9485,0.7178,2444.703
111,0.1991,0.5745,0.1201,2849.281
157,0.0569,0.8501,0.0531,2819.437
76,0.5332,0.5069,0.4745,3122.125
93,0.3907,0.192,0.6168,3090.719
122,0.306,0.7933,0.2479,2937.625
30,0.4966,0.8551,0.7641,2525.609
17,0.4084,0.8766,0.7966,2565.109
95,0.1281,0.8731,0.1283,2846.64
112,0.271,0.1606,0.4581,3023.5
94,0.4615,0.6402,0.3906,3056.437
62,0.7004,0.7383,0.5544,3157.969
31,0.9488,0.18,0.9797,3470.672
146,0.0748,0.8379,0.0703,2837.328
121,0.6768,0.5901,0.1927,3022.14
21,0.4376,0.7459,0.6705,2396.719
59,0.3085,0.8264,0.6103,2408.781
32,0.8049,0.138,0.809,3188.625
85,0.849,0.5402,0.2658,3099.875
77,0.6775,0.1907,0.3242,2342.453
28,0.8641,0.4741,0.7076,3305.218
70,0.5576,0.6653,0.605,3160.843
132,0.6242,0.7809,0.2339,3020.813
47,0.4325,0.6737,0.6695,2396.407
48,0.2848,0.6777,0.9048,3183.516
53,0.6338,0.7011,0.6575,3176.016
64,0.352,0.9231,0.6035,2395.75
88,0.0601,0.8415,0.4499,2295.109
52,0.8788,0.5699,0.8506,3189.734
66,0.7888,0.6517,0.3657,3129.797
36,0.1594,0.9368,0.6541,2506.718
164,0.4764,0.5212,0.3075,2996.922
103,0.68,0.7842,0.336,3079.235
186,0.6122,0.455,0.0812,2894.14
41,0.7587,0.6365,0.436,2466.125
119,0.5553,0.6136,0.2392,3020.984
86,0.0784,0.9286,0.4535,2333.875
137,0.2722,0.8876,0.2494,3034.968
174,0.4476,0.8566,0.2046,2968.016
93,0.1431,0.7415,0.6436,2400.672
78,0.4987,0.4729,0.5403,3125.328
128,0.195,0.8075,0.1689,2901.187
45,0.8737,0.1539,0.1539,2521.985
171,0.7425,0.4044,0.1661,2962.609
168,0.4526,0.8328,0.2222,2989.828
122,0.3992,0.2275,0.4239,3009.016
151,0.1909,0.3315,0.265,2941.719
64,0.112,0.8258,0.4344,2395.75
80,0.4766,0.4345,0.4445,3095.094
103,0.1058,0.911,0.0503,2794.187
51,0.9263,0.684,0.8512,3189.985
129,0.2954,0.2422,0.381,2990.859
108,0.2894,0.7129,0.1665,2888.25
195,0.2006,0.883,0.1107,2866.234
81,0.4414,0.3618,0.368,2315.407
54,0.1496,0.9246,0.6237,2495.5
63,0.8406,0.7645,0.536,3159.281
31,0.7917,0.4072,0.6086,3200.969
31,0.3252,0.7878,0.5457,2359.296
149,0.5545,0.7751,0.158,2976.234
105,0.7606,0.575,0.1882,3051.484
131,0.1468,0.8442,0.1516,2883.265
61,0.6693,0.1407,0.7289,3138.187
117,0.1248,0.6909,0.0584,2783.25
96,0.4338,0.6079,0.4089,3083.25
99,0.0818,0.8365,0.4365,2363.047
83,0.1025,0.8845,0.3988,2327.157
191,0.0489,0.1993,0.0551,2852.844
34,0.7482,0.1406,0.852,3190.313
74,0.5669,0.5121,0.496,3131.625
2,0.6462,0.4593,0.9799,3672.344
78,0.1034,0.9474,0.4877,2359.296
71,0.6329,0.5169,0.5848,3148.829
41,0.9243,0.1825,0.022,2466.125
105,0.3895,0.8879,0.3308,3002.172
89,0.1751,0.676,0.1741,2884.406
166,0.0324,0.6016,0.0,2792.485
129,0.1686,0.9697,0.0179,2781.125
102,0.0586,0.9113,0.0584,2801.156
10,0.3953,0.1562,0.8335,3230.25
16,0.8655,0.5899,0.5602,2616.453
69,0.5018,0.7022,0.7331,3171.906
87,0.8142,0.0453,0.221,2317.453
115,0.8253,0.6146,0.292,3066.766
96,0.4352,0.6903,0.395,3039.218
44,0.9094,0.1285,0.8175,3312.078
92,0.134,0.8053,0.5275,2458.812
86,0.5932,0.4339,0.4311,3093.25
90,0.2084,0.5029,0.1196,2873.766
61,0.7426,0.3649,0.6291,3212.469
192,0.2856,0.6932,0.0183,2854.64
91,0.5384,0.7354,0.4528,3082.937
48,0.8529,0.26,0.836,3183.516
6,0.5012,0.2689,0.6226,2667.89
138,0.3635,0.3737,0.4303,3011.734
48,0.7983,0.1426,0.6771,3260.016
143,0.7472,0.5721,0.1427,2985.953
6,0.9766,0.7193,0.949,3411.766
40,0.5759,0.4553,0.3116,2467.328
48,0.6511,0.3022,0.8552,3183.516
73,0.7815,0.5086,0.7593,3151.047
146,0.0726,0.6043,0.0825,2837.328
18,0.2252,0.7462,0.5061,2532.531
75,0.5619,0.4961,0.4742,3121.907
29,0.9314,0.1684,0.8927,3410.718
153,0.4966,0.6474,0.069,2936.171
112,0.2008,0.6332,0.1029,2833.688
125,0.679,0.5982,0.1652,3011.75
63,0.8626,0.3488,0.3061,2416.672
173,0.5922,0.5917,0.2271,2973.281
46,0.1472,0.92,0.6748,2503.172
51,0.2033,0.745,0.4184,2488.719
36,0.7063,0.7152,0.5216,2506.718
79,0.5178,0.3789,0.4434,3103.828
65,0.7655,0.4503,0.6483,3195.313
30,0.7287,0.05,0.8998,3210.546
102,0.4479,0.668,0.3868,3069.0
78,0.4769,0.7338,0.4669,2359.296
124,0.2497,0.8259,0.2045,2918.375
158,0.5901,0.4977,0.509,3045.078
172,0.5673,0.4564,0.1813,2957.016
31,0.6879,0.0104,0.8772,3200.969
116,0.2985,0.862,0.2376,2937.984
43,0.9655,0.1924,0.847,3327.391
26,0.8535,0.4028,0.76,3317.547
18,0.7344,0.1314,0.8239,3234.343
98,0.163,0.8323,0.0759,2827.078
34,0.928,0.0275,0.8653,3386.0
98,0.4811,0.3952,0.5946,3081.297
51,0.9153,0.3152,0.8086,3283.563
68,0.3556,0.7657,0.8638,3196.859
89,0.3785,0.6676,0.365,2326.657
89,0.4558,0.1212,0.6112,3088.328
170,0.6037,0.4878,0.2163,2967.281
63,0.7719,0.4673,0.4305,2416.672
108,0.6086,0.8321,0.3411,3071.782
28,0.4951,0.3518,0.1414,2373.89
63,0.7099,0.4542,0.6193,3203.578
50,0.3379,1.0,0.6345,2385.922
122,0.6187,0.6142,0.1934,3009.016
104,0.4927,0.655,0.3667,3070.344
12,0.8747,0.464,0.6916,2673.0
68,0.2904,0.5918,0.8028,3196.859
115,0.5497,0.5313,0.5603,3066.766
173,0.3585,0.8622,0.1856,2973.281
128,0.2491,0.6223,0.1749,2901.187
52,0.8986,0.2209,0.7909,3275.125
52,0.7875,0.3955,0.806,3189.734
27,0.851,0.371,0.7051,2588.594
154,0.1257,0.5452,0.0725,2838.156
26,0.5535,0.3971,0.5515,2361.047
60,0.5901,0.6927,0.5559,2442.547
96,0.1476,0.8643,0.1346,2839.532
62,0.788,0.6115,0.7756,3157.969
54,0.6491,0.3268,0.5228,3172.562
24,0.7481,0.0585,0.9817,3245.25
165,0.0456,0.8718,0.0,2793.39
130,0.418,0.7109,0.4603,3024.453
57,0.5103,0.7679,0.5342,2440.547
119,0.2845,0.9962,0.2148,2929.375
41,0.7229,0.3802,0.5845,3239.344
85,0.3392,0.9217,0.4733,2329.375
59,0.9253,0.3184,0.6547,3158.406
156,0.0906,0.829,0.0442,2829.625
71,0.7675,0.2816,0.0875,2412.25
27,0.9902,0.3796,0.5534,2588.594
64,0.2757,0.8844,0.5975,2395.75
119,0.4494,0.247,0.4521,3020.984
60,0.7152,0.5409,0.4276,2442.547
