Battery,Cycle,Fade_percentage,Current_capacity,Nominal_capacity,SOH,Capacity,Ambient_temperature,Voltage_mean,Voltage_max,Temperature_mean,Temperature_max,Time_at_max_temp,Discharge_duration
B0005,1,30,1.4,2,1.0,1.0,24,0.6693,0.0,0.4538,0.3236,1.0,3690.234
B0005,31,30,1.4,2,0.9918,0.9918,24,0.9488,0.8437,0.2139,0.18,0.9797,3470.672
B0005,32,30,1.4,2,0.9547,0.9547,24,0.9952,0.7161,0.2744,0.1891,0.9345,3414.109
B0005,33,30,1.4,2,0.9357,0.9357,24,0.994,0.7365,0.1899,0.1407,0.9162,3395.219
B0005,34,30,1.4,2,0.9171,0.9171,24,0.9734,0.6704,0.0496,0.0166,0.8889,3386.0
B0005,35,30,1.4,2,0.9088,0.9088,24,0.9517,0.7493,0.029,0.0289,0.89,3368.187
B0005,36,30,1.4,2,0.8996,0.8996,24,0.9733,0.7208,0.209,0.1476,0.8806,3368.266
B0005,37,30,1.4,2,0.8804,0.8804,24,0.9666,0.6776,0.1165,0.0749,0.8712,3358.719
B0005,38,30,1.4,2,0.8707,0.8707,24,0.9458,0.7505,0.058,0.0743,0.8528,3339.5
B0005,39,30,1.4,2,0.8533,0.8533,24,0.938,0.6822,0.0,0.0,0.8356,3331.265
B0005,40,30,1.4,2,0.8533,0.8533,24,0.9078,0.6962,0.0875,0.1637,0.8351,3321.188
B0005,41,30,1.4,2,0.8443,0.8443,24,0.9382,0.7123,0.2854,0.2598,0.8264,3321.844
B0005,42,30,1.4,2,0.8345,0.8345,24,0.9386,0.7095,0.344,0.2936,0.817,3311.828
B0005,43,30,1.4,2,0.8438,0.8438,24,0.9655,0.229,0.1871,0.1924,0.847,3327.391
B0005,44,30,1.4,2,0.8351,0.8351,24,0.9094,0.8124,0.157,0.1285,0.8175,3312.078
B0005,45,30,1.4,2,0.8159,0.8159,24,0.8847,0.67,0.0326,0.0865,0.8083,3293.172
B0005,46,30,1.4,2,0.7985,0.7985,24,0.8878,0.6964,0.0006,0.0658,0.7817,3275.328
B0005,47,30,1.4,2,0.7884,0.7884,24,0.8643,0.6722,0.0107,0.1037,0.772,3265.016
B0005,49,30,1.4,2,0.8712,0.8712,24,1.0,0.7436,0.7692,0.5711,0.8531,3329.266
B0005,50,30,1.4,2,0.8434,0.8434,24,0.9592,0.6935,0.4884,0.3786,0.8352,3301.579
B0005,51,30,1.4,2,0.8252,0.8252,24,0.9153,0.6634,0.3486,0.3152,0.8086,3283.563
B0005,52,30,1.4,2,0.8074,0.8074,24,0.8986,0.6994,0.2474,0.2209,0.7909,3275.125
B0005,53,30,1.4,2,0.7983,0.7983,24,0.8706,0.7178,0.2681,0.3067,0.7818,3265.656
B0005,54,30,1.4,2,0.789,0.789,24,0.8681,0.6883,0.4046,0.3923,0.7819,3266.093
B0005,55,30,1.4,2,0.7713,0.7713,24,0.8461,0.6569,0.3061,0.3189,0.7552,3257.594
B0005,56,30,1.4,2,0.7528,0.7528,24,0.8409,0.6034,0.2657,0.2845,0.7372,3248.593
B0005,57,30,1.4,2,0.7435,0.7435,24,0.8198,0.661,0.2359,0.2814,0.7278,3238.766
B0005,58,30,1.4,2,0.7356,0.7356,24,0.8096,0.6763,0.324,0.3669,0.729,3240.14
B0005,59,30,1.4,2,0.7255,0.7255,24,0.8184,0.6831,0.448,0.4243,0.7101,3230.109
B0005,60,30,1.4,2,0.7155,0.7155,24,0.7821,0.6838,0.391,0.4092,0.7005,3229.781
B0005,61,30,1.4,2,0.6985,0.6985,24,0.7849,0.7151,0.352,0.3572,0.6928,3212.469
B0005,62,30,1.4,2,0.6801,0.6801,24,0.7796,0.7006,0.2944,0.3412,0.675,3213.219
B0005,63,30,1.4,2,0.6803,0.6803,24,0.7484,0.6606,0.3845,0.4376,0.6658,3203.578
B0005,64,30,1.4,2,0.6612,0.6612,24,0.7567,0.5543,0.3576,0.3578,0.6573,3195.125
B0005,65,30,1.4,2,0.653,0.653,24,0.7655,0.8667,0.4516,0.4503,0.6483,3195.313
B0005,66,30,1.4,2,0.6439,0.6439,24,0.7086,0.6913,0.4147,0.4682,0.6395,3186.297
B0005,67,30,1.4,2,0.6242,0.6242,24,0.7155,0.654,0.3715,0.4203,0.6205,3176.438
B0005,68,30,1.4,2,0.6158,0.6158,24,0.6842,0.6206,0.3805,0.4483,0.6121,3167.593
B0005,69,30,1.4,2,0.6068,0.6068,24,0.6803,0.6564,0.4111,0.4693,0.5938,3167.719
B0005,70,30,1.4,2,0.598,0.598,24,0.658,0.7124,0.4274,0.4934,0.5855,3159.078
B0005,71,30,1.4,2,0.5881,0.5881,24,0.6329,0.6421,0.4277,0.5169,0.5848,3148.829
B0005,72,30,1.4,2,0.5692,0.5692,24,0.6577,0.6706,0.4175,0.4752,0.5571,3149.094
B0005,73,30,1.4,2,0.5608,0.5608,24,0.6258,0.6182,0.4291,0.5067,0.5581,3140.547
B0005,74,30,1.4,2,0.5519,0.5519,24,0.5966,0.6378,0.4318,0.5201,0.5495,3131.625
B0005,75,30,1.4,2,0.5323,0.5323,24,0.6169,0.6437,0.4116,0.4822,0.5307,3121.907
B0005,76,30,1.4,2,0.5243,0.5243,24,0.5827,0.6396,0.408,0.5031,0.5219,3122.125
B0005,77,30,1.4,2,0.5228,0.5228,24,0.5493,0.7767,0.3649,0.449,0.5211,3121.672
B0005,78,30,1.4,2,0.5414,0.5414,24,0.6068,0.8484,0.5534,0.5584,0.5392,3120.86
B0005,79,30,1.4,2,0.5049,0.5049,24,0.5606,0.5865,0.3606,0.443,0.5039,3103.828
B0005,80,30,1.4,2,0.4876,0.4876,24,0.531,0.6194,0.268,0.4005,0.4769,3095.094
B0005,81,30,1.4,2,0.4786,0.4786,24,0.5162,0.6473,0.3251,0.458,0.4772,3095.781
B0005,82,30,1.4,2,0.4781,0.4781,24,0.5012,0.5838,0.5048,0.6128,0.4764,3094.328
B0005,83,30,1.4,2,0.4696,0.4696,24,0.5132,0.6015,0.5899,0.6417,0.4683,3086.531
B0005,84,30,1.4,2,0.4594,0.4594,24,0.4775,0.5774,0.558,0.6345,0.4584,3085.625
B0005,85,30,1.4,2,0.4407,0.4407,24,0.4771,0.6655,0.4747,0.5683,0.4405,3067.203
B0005,86,30,1.4,2,0.4226,0.4226,24,0.4615,0.5442,0.3835,0.4983,0.4136,3058.157
B0005,87,30,1.4,2,0.4237,0.4237,24,0.4338,0.5381,0.4939,0.621,0.4231,3058.812
B0005,88,30,1.4,2,0.4133,0.4133,24,0.4777,0.572,0.6078,0.6703,0.4137,3058.578
B0005,89,30,1.4,2,0.4043,0.4043,24,0.4707,0.5877,0.6266,0.6855,0.4047,3049.328
B0005,91,30,1.4,2,0.4857,0.4857,24,0.5322,0.7867,0.734,0.7457,0.484,3082.937
B0005,92,30,1.4,2,0.458,0.458,24,0.5026,0.606,0.7384,0.7585,0.4575,3074.266
B0005,93,30,1.4,2,0.4304,0.4304,24,0.5199,0.6044,0.6639,0.6788,0.4305,3066.0
B0005,94,30,1.4,2,0.4209,0.4209,24,0.4504,0.5621,0.6127,0.6826,0.4211,3056.437
B0005,95,30,1.4,2,0.4033,0.4033,24,0.4594,0.5693,0.5808,0.6531,0.4039,3048.219
B0005,96,30,1.4,2,0.3944,0.3944,24,0.4352,0.5661,0.6097,0.6903,0.395,3039.218
B0005,97,30,1.4,2,0.3851,0.3851,24,0.4279,0.5503,0.6238,0.6948,0.3855,3039.047
B0005,98,30,1.4,2,0.3762,0.3762,24,0.4037,0.5605,0.6383,0.7211,0.3773,3030.375
B0005,99,30,1.4,2,0.3574,0.3574,24,0.4345,0.5122,0.63,0.6888,0.3587,3021.0
B0005,100,30,1.4,2,0.3487,0.3487,24,0.4257,0.5317,0.6523,0.7085,0.3502,3021.75
B0005,101,30,1.4,2,0.3391,0.3391,24,0.4083,0.5236,0.6573,0.7215,0.3411,3012.265
B0005,102,30,1.4,2,0.33,0.33,24,0.397,0.5483,0.6577,0.7245,0.3316,3002.641
B0005,103,30,1.4,2,0.3488,0.3488,24,0.3479,0.0848,0.6833,0.7629,0.35,3012.0
B0005,104,30,1.4,2,0.3667,0.3667,24,0.4329,1.0,0.8975,0.8763,0.3676,3020.11
B0005,105,30,1.4,2,0.3398,0.3398,24,0.3807,0.5691,0.856,0.876,0.3412,3002.172
B0005,106,30,1.4,2,0.3204,0.3204,24,0.3828,0.5748,0.8057,0.8333,0.3224,2992.703
B0005,107,30,1.4,2,0.2925,0.2925,24,0.3315,0.0591,0.7279,0.7917,0.2954,2964.468
B0005,108,30,1.4,2,0.2929,0.2929,24,0.3574,0.4846,0.7365,0.7942,0.2949,2983.375
B0005,109,30,1.4,2,0.2945,0.2945,24,0.3261,0.5383,0.8473,0.8931,0.2965,2975.297
B0005,110,30,1.4,2,0.284,0.284,24,0.3242,0.4329,0.8996,0.9306,0.2868,2974.985
B0005,111,30,1.4,2,0.2657,0.2657,24,0.3414,0.4939,0.8016,0.834,0.269,2966.25
B0005,112,30,1.4,2,0.2566,0.2566,24,0.3222,0.4772,0.7526,0.812,0.2594,2956.359
B0005,113,30,1.4,2,0.2565,0.2565,24,0.2935,0.4944,0.8561,0.9073,0.2594,2956.344
B0005,114,30,1.4,2,0.2471,0.2471,24,0.3203,0.4187,0.9427,0.9513,0.2504,2956.406
B0005,115,30,1.4,2,0.2381,0.2381,24,0.3073,0.4678,0.8968,0.9193,0.2418,2947.266
B0005,116,30,1.4,2,0.2284,0.2284,24,0.2764,0.4171,0.8333,0.8855,0.2325,2937.984
B0005,117,30,1.4,2,0.2196,0.2196,24,0.2531,0.4463,0.7766,0.8594,0.2236,2929.125
B0005,118,30,1.4,2,0.2199,0.2199,24,0.2375,0.4738,0.8742,0.9426,0.2236,2928.454
B0005,119,30,1.4,2,0.2111,0.2111,24,0.2845,0.4672,0.9936,0.9962,0.2148,2929.375
B0005,121,30,1.4,2,0.265,0.265,24,0.3209,0.8502,1.0,0.9759,0.2681,2955.438
B0005,122,30,1.4,2,0.2283,0.2283,24,0.3039,0.4786,0.8846,0.8826,0.2321,2937.625
B0005,123,30,1.4,2,0.2101,0.2101,24,0.2804,0.4765,0.7798,0.8186,0.2144,2929.078
B0005,124,30,1.4,2,0.1999,0.1999,24,0.2497,0.4578,0.7569,0.8259,0.2045,2918.375
B0005,125,30,1.4,2,0.192,0.192,24,0.2327,0.427,0.76,0.8378,0.1966,2919.812
B0005,126,30,1.4,2,0.1825,0.1825,24,0.2189,0.4131,0.7524,0.8327,0.1874,2900.422
B0005,127,30,1.4,2,0.1736,0.1736,24,0.2021,0.3769,0.7452,0.8365,0.1788,2901.375
B0005,128,30,1.4,2,0.1634,0.1634,24,0.195,0.3492,0.7094,0.8075,0.1689,2901.187
B0005,129,30,1.4,2,0.1543,0.1543,24,0.1994,0.445,0.6913,0.7911,0.1599,2891.64
B0005,130,30,1.4,2,0.146,0.146,24,0.1643,0.2524,0.7057,0.8166,0.1516,2882.906
B0005,131,30,1.4,2,0.146,0.146,24,0.1468,0.3851,0.724,0.8442,0.1516,2883.265
B0005,132,30,1.4,2,0.1358,0.1358,24,0.148,0.3605,0.7024,0.8251,0.142,2882.969
B0005,134,30,1.4,2,0.1734,0.1734,24,0.2508,0.7799,0.9345,0.9448,0.1787,2901.25
B0005,135,30,1.4,2,0.1448,0.1448,24,0.222,0.5887,0.8786,0.9211,0.1507,2891.703
B0005,136,30,1.4,2,0.1359,0.1359,24,0.1502,0.372,0.826,0.9217,0.142,2883.016
B0005,137,30,1.4,2,0.1175,0.1175,24,0.1756,0.3756,0.7282,0.8394,0.1239,2873.453
B0005,138,30,1.4,2,0.1181,0.1181,24,0.1661,0.3893,0.8628,0.9463,0.1243,2874.031
B0005,139,30,1.4,2,0.1182,0.1182,24,0.1433,0.3816,0.9342,1.0,0.1245,2874.234
B0005,140,30,1.4,2,0.1087,0.1087,24,0.1278,0.4198,0.8559,0.9525,0.1154,2864.984
B0005,141,30,1.4,2,0.0997,0.0997,24,0.0951,0.451,0.7605,0.8943,0.1066,2855.093
B0005,142,30,1.4,2,0.0906,0.0906,24,0.0876,0.3839,0.7193,0.8747,0.0974,2855.625
B0005,143,30,1.4,2,0.0904,0.0904,24,0.0958,0.3973,0.8291,0.9562,0.0971,2855.594
B0005,144,30,1.4,2,0.0818,0.0818,24,0.1165,0.4154,0.8363,0.9389,0.0889,2847.437
B0005,145,30,1.4,2,0.0724,0.0724,24,0.0841,0.3561,0.7541,0.8893,0.0799,2847.36
B0005,146,30,1.4,2,0.0628,0.0628,24,0.0748,0.3745,0.6711,0.8379,0.0703,2837.328
B0005,147,30,1.4,2,0.054,0.054,24,0.0874,0.3855,0.6501,0.8196,0.0614,2837.281
B0005,148,30,1.4,2,0.0545,0.0545,24,0.0996,0.3396,0.7799,0.9153,0.0618,2838.515
B0005,149,30,1.4,2,0.0542,0.0542,24,0.0623,0.4029,0.7717,0.9162,0.0617,2828.328
B0005,151,30,1.4,2,0.1277,0.1277,24,0.1295,0.8587,0.7908,0.8894,0.1336,2864.547
B0005,152,30,1.4,2,0.0915,0.0915,24,0.1208,0.371,0.7895,0.8893,0.0981,2846.39
B0005,153,30,1.4,2,0.0731,0.0731,24,0.1199,0.3746,0.7305,0.8405,0.0801,2837.969
B0005,154,30,1.4,2,0.0637,0.0637,24,0.1082,0.4291,0.7097,0.8363,0.071,2838.156
B0005,155,30,1.4,2,0.0548,0.0548,24,0.0842,0.3789,0.694,0.8362,0.0624,2829.843
B0005,156,30,1.4,2,0.0457,0.0457,24,0.0906,0.3792,0.6862,0.829,0.0442,2829.625
B0005,157,30,1.4,2,0.0453,0.0453,24,0.0569,0.4279,0.6963,0.8501,0.0531,2819.437
B0005,158,30,1.4,2,0.0358,0.0358,24,0.061,0.3627,0.6782,0.8337,0.0437,2819.579
B0005,159,30,1.4,2,0.0274,0.0274,24,0.0686,0.3389,0.6736,0.8267,0.0352,2810.672
B0005,160,30,1.4,2,0.028,0.028,24,0.0416,0.3444,0.7028,0.8621,0.0359,2811.485
B0005,161,30,1.4,2,0.028,0.028,24,0.0086,0.3694,0.7268,0.8971,0.0362,2802.422
B0005,162,30,1.4,2,0.0183,0.0183,24,0.0391,0.3584,0.7334,0.8834,0.0265,2801.625
B0005,163,30,1.4,2,0.0187,0.0187,24,0.0,0.403,0.7162,0.8936,0.0268,2802.031
B0005,164,30,1.4,2,0.0106,0.0106,24,0.0248,0.4535,0.7107,0.8721,0.0183,2793.39
B0005,165,30,1.4,2,0.001,0.001,24,0.0456,0.3639,0.7271,0.8718,0.0,2793.39
B0005,166,30,1.4,2,0.0,0.0,24,0.0283,0.3849,0.7463,0.8941,0.0082,2792.485
B0005,168,30,1.4,2,0.0661,0.0661,24,0.1165,0.9228,0.9261,0.8906,0.0634,2820.39
B0007,1,30,1.4,2,1.0,1.0,24,0.5595,0.3281,0.6,0.5455,1.0,3690.234
B0007,2,30,1.4,2,0.9788,0.9788,24,0.6462,0.2338,0.6456,0.4593,0.9799,3672.344
B0007,3,30,1.4,2,0.9788,0.9788,24,0.6676,0.2119,0.6242,0.4633,0.9798,3651.641
B0007,4,30,1.4,2,0.979,0.979,24,0.6722,0.2106,0.5718,0.4679,0.98,3631.563
B0007,5,30,1.4,2,0.9764,0.9764,24,0.6688,0.2294,0.5369,0.4616,0.9776,3629.172
B0007,6,30,1.4,2,0.9789,0.9789,24,0.7266,0.182,0.5443,0.3069,0.9577,3652.281
B0007,7,30,1.4,2,0.9773,0.9773,24,0.7266,0.1873,0.573,0.3402,0.9564,3650.828
B0007,8,30,1.4,2,0.9805,0.9805,24,0.799,0.3162,0.5312,0.3622,0.9597,3572.453
B0007,9,30,1.4,2,0.9565,0.9565,24,0.8062,0.3009,0.4988,0.3788,0.9578,3550.594
B0007,10,30,1.4,2,0.9572,0.9572,24,0.7875,0.2766,0.4715,0.405,0.9586,3551.25
B0007,11,30,1.4,2,0.9572,0.9572,24,0.79,0.2646,0.4225,0.4231,0.9581,3530.25
B0007,12,30,1.4,2,0.936,0.936,24,0.8565,0.2754,0.5011,0.437,0.937,3491.016
B0007,13,30,1.4,2,0.9348,0.9348,24,0.8952,0.2855,0.4659,0.3957,0.9365,3470.281
B0007,14,30,1.4,2,0.9347,0.9347,24,0.8586,0.1954,0.4082,0.4346,0.9362,3470.0
B0007,15,30,1.4,2,0.9354,0.9354,24,0.9326,0.3051,0.3543,0.2509,0.9143,3450.297
B0007,16,30,1.4,2,0.9341,0.9341,24,0.9384,0.289,0.301,0.2776,0.9135,3429.407
B0007,17,30,1.4,2,0.9119,0.9119,24,0.943,0.2816,0.2902,0.2946,0.8914,3409.484
B0007,18,30,1.4,2,0.9133,0.9133,24,1.0,0.2345,0.2911,0.1893,0.8702,3390.422
B0007,19,30,1.4,2,0.913,0.913,24,0.9778,0.2086,0.2954,0.2382,0.8701,3390.281
B0007,20,30,1.4,2,0.9791,0.9791,24,0.7726,0.0191,0.4904,0.3807,0.9808,3591.734
B0007,21,30,1.4,2,0.9805,0.9805,24,0.8316,0.0856,0.5909,0.4731,0.9821,3552.297
B0007,22,30,1.4,2,0.9797,0.9797,24,0.8904,0.0964,0.4275,0.2243,0.9595,3531.578
B0007,23,30,1.4,2,0.9591,0.9591,24,0.8871,0.0803,0.2708,0.249,0.9614,3492.907
B0007,24,30,1.4,2,0.9575,0.9575,24,0.8245,0.0554,0.243,0.2979,0.9597,3511.594
B0007,25,30,1.4,2,0.9585,0.9585,24,0.9849,0.102,0.1546,0.0963,0.9163,3431.937
B0007,26,30,1.4,2,0.9359,0.9359,24,0.9409,0.0442,0.1248,0.1614,0.9154,3431.125
B0007,27,30,1.4,2,0.9368,0.9368,24,0.9894,0.0695,0.0767,0.047,0.8946,3412.406
B0007,28,30,1.4,2,0.935,0.935,24,0.9605,0.0603,0.0616,0.0948,0.8927,3410.688
B0007,29,30,1.4,2,0.9125,0.9125,24,0.9314,0.0971,0.0801,0.1684,0.8927,3410.718
B0007,30,30,1.4,2,0.9147,0.9147,24,0.9694,0.0,0.0765,0.0883,0.8728,3392.719
B0007,31,30,1.4,2,0.9845,0.9845,24,0.9313,1.0,0.1913,0.12,0.9484,3470.672
B0007,32,30,1.4,2,0.9425,0.9425,24,0.9733,0.6806,0.2612,0.1446,0.8965,3414.109
B0007,33,30,1.4,2,0.9206,0.9206,24,0.9672,0.6624,0.1538,0.0521,0.8755,3395.219
B0007,34,30,1.4,2,0.9101,0.9101,24,0.928,0.6389,0.0025,0.0275,0.8653,3386.0
B0007,36,30,1.4,2,0.8902,0.8902,24,0.9384,0.6091,0.1953,0.1427,0.8456,3368.266
B0007,37,30,1.4,2,0.879,0.879,24,0.9104,0.6431,0.08,0.0879,0.835,3358.719
B0007,38,30,1.4,2,0.8575,0.8575,24,0.9301,0.6756,0.0,0.0,0.8137,3339.5
B0007,40,30,1.4,2,0.8376,0.8376,24,0.9177,0.6384,0.0267,0.0751,0.7934,3321.188
B0007,41,30,1.4,2,0.8381,0.8381,24,0.9167,0.6817,0.2371,0.212,0.7941,3321.844
B0007,42,30,1.4,2,0.8267,0.8267,24,0.921,0.6533,0.3089,0.2364,0.783,3311.828
B0007,43,30,1.4,2,0.8413,0.8413,24,0.9259,0.0088,0.1627,0.2161,0.8002,3327.391
B0007,44,30,1.4,2,0.8272,0.8272,24,0.8952,0.8038,0.0459,0.0291,0.7832,3312.078
B0007,49,30,1.4,2,0.8464,0.8464,24,0.9875,0.703,0.7663,0.4859,0.8023,3329.266
B0007,50,30,1.4,2,0.8149,0.8149,24,0.9494,0.6443,0.4587,0.3047,0.7716,3301.579
B0007,51,30,1.4,2,0.7949,0.7949,24,0.92,0.6891,0.3238,0.2561,0.7516,3283.563
B0007,52,30,1.4,2,0.7743,0.7743,24,0.8824,0.6227,0.2236,0.2398,0.7422,3275.125
B0007,53,30,1.4,2,0.7641,0.7641,24,0.8621,0.686,0.26,0.3189,0.7317,3265.656
B0007,54,30,1.4,2,0.7538,0.7538,24,0.8475,0.6338,0.4026,0.4022,0.7212,3266.093
B0007,55,30,1.4,2,0.733,0.733,24,0.8267,0.6227,0.3043,0.3035,0.7119,3257.594
B0007,56,30,1.4,2,0.7118,0.7118,24,0.7792,0.498,0.2753,0.3516,0.691,3248.593
B0007,57,30,1.4,2,0.7118,0.7118,24,0.7759,0.6158,0.2375,0.3245,0.7019,3238.766
B0007,58,30,1.4,2,0.7024,0.7024,24,0.7582,0.599,0.3315,0.4103,0.6708,3240.14
B0007,59,30,1.4,2,0.6914,0.6914,24,0.7734,0.6141,0.4691,0.456,0.6596,3230.109
B0007,60,30,1.4,2,0.6688,0.6688,24,0.7237,0.5949,0.4006,0.4624,0.6485,3229.781
B0007,61,30,1.4,2,0.6593,0.6593,24,0.7426,0.6759,0.3573,0.3649,0.6291,3212.469
B0007,62,30,1.4,2,0.6391,0.6391,24,0.6823,0.6344,0.2921,0.4063,0.6192,3213.219
B0007,63,30,1.4,2,0.639,0.639,24,0.7099,0.6538,0.4135,0.4542,0.6193,3203.578
B0007,64,30,1.4,2,0.618,0.618,24,0.6713,0.5153,0.3901,0.4252,0.61,3195.125
B0007,65,30,1.4,2,0.6188,0.6188,24,0.6872,0.7873,0.485,0.4947,0.5992,3195.313
B0007,66,30,1.4,2,0.5975,0.5975,24,0.6747,0.5865,0.4347,0.4403,0.5784,3186.297
B0007,67,30,1.4,2,0.5854,0.5854,24,0.6553,0.5673,0.3888,0.4295,0.5564,3176.438
B0007,68,30,1.4,2,0.5761,0.5761,24,0.6481,0.6246,0.3942,0.4406,0.5467,3167.593
B0007,69,30,1.4,2,0.5656,0.5656,24,0.6365,0.5986,0.4307,0.4642,0.5362,3167.719
B0007,70,30,1.4,2,0.556,0.556,24,0.6266,0.6489,0.4426,0.4725,0.5374,3159.078
B0007,71,30,1.4,2,0.5442,0.5442,24,0.6134,0.5875,0.4341,0.4742,0.515,3148.829
B0007,72,30,1.4,2,0.5337,0.5337,24,0.5993,0.5993,0.4362,0.4782,0.5046,3149.094
B0007,73,30,1.4,2,0.5238,0.5238,24,0.5813,0.5669,0.4429,0.5039,0.506,3140.547
B0007,74,30,1.4,2,0.5138,0.5138,24,0.5669,0.5289,0.4406,0.5121,0.496,3131.625
B0007,75,30,1.4,2,0.503,0.503,24,0.5619,0.5636,0.4225,0.4961,0.4742,3121.907
B0007,76,30,1.4,2,0.481,0.481,24,0.5332,0.5715,0.4179,0.5069,0.4745,3122.125
B0007,77,30,1.4,2,0.4806,0.4806,24,0.5227,0.8248,0.3621,0.4598,0.4633,3121.672
B0007,78,30,1.4,2,0.4906,0.4906,24,0.5527,0.7548,0.5525,0.5599,0.4731,3120.86
